run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260706-222212,levir_val_1.png,deep_winter,contextual,0,levir_val_1__deep_winter__contextual__v0.png,0.471,0.2004,0.866,0.3038,0.4169,0.759,False,0.5537,18.098,,
20260706-222212,levir_val_1.png,deep_winter,positive,0,levir_val_1__deep_winter__positive__v0.png,0.4808,0.2018,0.8088,0.3018,0.425,0.7299,False,0.547,18.097,,
20260706-222212,levir_val_1.png,deep_winter,negative,0,levir_val_1__deep_winter__negative__v0.png,0.4227,0.1274,0.9502,0.2875,0.3637,0.797,False,0.537,35.998,,
20260706-222212,levir_val_1.png,deep_winter,few_shot,0,levir_val_1__deep_winter__few_shot__v0.png,0.5361,0.2283,0.8249,0.3028,0.4745,0.7382,False,0.58,18.097,,
20260706-222212,levir_val_1.png,deep_winter,cot,0,levir_val_1__deep_winter__cot__v0.png,0.4688,0.1913,0.8743,0.2982,0.4133,0.7617,False,0.5527,18.098,,
20260706-222212,levir_val_1.png,deep_winter,step_back,0,levir_val_1__deep_winter__step_back__v0.png,0.4397,0.1878,0.9126,0.3101,0.3893,0.7838,False,0.5471,18.097,,
20260706-222212,levir_val_1.png,deep_winter,decomposed,0,levir_val_1__deep_winter__decomposed__v0.png,0.4551,0.1789,0.9112,0.3114,0.3998,0.7834,False,0.5533,18.093,,
20260706-222212,levir_val_1.png,deep_winter,kontext_guide,0,levir_val_1__deep_winter__kontext_guide__v0.png,0.4913,0.2135,0.8394,0.3091,0.4357,0.747,False,0.5602,18.094,,
20260706-222212,levir_val_1.png,deep_winter,hybrid,0,levir_val_1__deep_winter__hybrid__v0.png,0.4695,0.2002,0.8443,0.2829,0.4157,0.7429,False,0.5465,18.099,,
20260706-222212,levir_val_13.png,summer,zero_shot,0,levir_val_13__summer__zero_shot__v0.png,0.9771,0.8165,0.9115,,0.945,0.9115,False,0.9316,18.091,,
20260706-222212,levir_val_13.png,summer,contextual,0,levir_val_13__summer__contextual__v0.png,0.9715,0.8154,0.9489,,0.9403,0.9489,False,0.9437,18.105,,
20260706-222212,levir_val_13.png,summer,positive,0,levir_val_13__summer__positive__v0.png,0.9255,0.7825,0.9778,,0.8969,0.9778,False,0.9293,18.146,,
20260706-222212,levir_val_13.png,summer,negative,0,levir_val_13__summer__negative__v0.png,0.869,0.2123,0.963,,0.7376,0.963,False,0.8278,36.114,,
20260706-222212,levir_val_13.png,summer,few_shot,0,levir_val_13__summer__few_shot__v0.png,0.8705,0.7253,0.9637,,0.8414,0.9637,False,0.8904,18.155,,
20260706-222212,levir_val_13.png,summer,cot,0,levir_val_13__summer__cot__v0.png,0.9417,0.8051,0.9746,,0.9144,0.9746,False,0.9385,18.134,,
