run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260706-203526,levir_val_31.png,autumn,decomposed,0,levir_val_31__autumn__decomposed__v0.png,0.8512,0.5459,0.9978,0.1996,0.7901,0.7988,False,0.7936,18.096,,
20260706-203526,levir_val_31.png,winter,step_back,0,levir_val_31__winter__step_back__v0.png,0.8282,0.3546,0.1183,0.258,0.7334,0.3737,False,0.5895,18.096,,
20260706-203526,levir_val_31.png,winter,decomposed,0,levir_val_31__winter__decomposed__v0.png,0.8509,0.2949,0.1151,0.2317,0.7397,0.3654,False,0.59,18.096,,
20260706-203526,levir_val_31.png,deep_winter,step_back,0,levir_val_31__deep_winter__step_back__v0.png,0.8311,0.4145,0.8929,0.2932,0.7477,0.7698,False,0.7566,18.096,,
20260706-203526,levir_val_31.png,deep_winter,decomposed,0,levir_val_31__deep_winter__decomposed__v0.png,0.8085,0.3885,0.9408,0.2758,0.7245,0.7893,False,0.7504,18.098,,
20260706-203526,levir_val_37.png,summer,step_back,0,levir_val_37__summer__step_back__v0.png,0.9892,0.7346,0.9416,,0.9383,0.9416,False,0.9396,18.097,,
20260706-203526,levir_val_37.png,summer,decomposed,0,levir_val_37__summer__decomposed__v0.png,0.9873,0.7434,0.9491,,0.9386,0.9491,False,0.9428,18.096,,
20260706-203526,levir_val_37.png,autumn,step_back,0,levir_val_37__autumn__step_back__v0.png,0.9315,0.6148,0.9981,0.3028,0.8682,0.8248,False,0.8508,18.101,,
20260706-203526,levir_val_37.png,autumn,decomposed,0,levir_val_37__autumn__decomposed__v0.png,0.9229,0.5567,0.9981,0.2833,0.8497,0.8199,False,0.8378,18.101,,
20260706-203526,levir_val_37.png,winter,step_back,0,levir_val_37__winter__step_back__v0.png,0.7624,0.3401,0.3572,0.2327,0.678,0.4868,False,0.6015,18.099,,
20260706-203526,levir_val_37.png,winter,decomposed,0,levir_val_37__winter__decomposed__v0.png,0.7798,0.3325,0.4001,0.2416,0.6903,0.5105,False,0.6184,18.101,,
20260706-203526,levir_val_37.png,deep_winter,step_back,0,levir_val_37__deep_winter__step_back__v0.png,0.6474,0.1201,0.8286,0.2851,0.5419,0.7356,False,0.6194,18.098,,
20260706-203526,levir_val_37.png,deep_winter,decomposed,0,levir_val_37__deep_winter__decomposed__v0.png,0.6878,0.1455,0.7885,0.3039,0.5794,0.7202,False,0.6357,18.102,,
20260706-203526,levir_val_43.png,summer,step_back,0,levir_val_43__summer__step_back__v0.png,0.9394,0.7842,0.9377,,0.9084,0.9377,False,0.9201,18.093,,
20260706-203526,levir_val_43.png,summer,decomposed,0,levir_val_43__summer__decomposed__v0.png,0.9553,0.7886,0.9367,,0.922,0.9367,False,0.9279,18.095,,
20260706-203526,levir_val_43.png,autumn,step_back,0,levir_val_43__autumn__step_back__v0.png,0.8791,0.6303,0.9987,0.2424,0.8294,0.81,False,0.8216,18.097,,
20260706-203526,levir_val_43.png,autumn,decomposed,0,levir_val_43__autumn__decomposed__v0.png,0.8459,0.316,0.9996,0.2267,0.7399,0.8065,False,0.7665,18.1,,
20260706-203526,levir_val_43.png,winter,step_back,0,levir_val_43__winter__step_back__v0.png,0.7473,0.6604,0.7472,0.2455,0.7299,0.685,False,0.7119,18.096,,
20260706-203526,levir_val_43.png,winter,decomposed,0,levir_val_43__winter__decomposed__v0.png,0.7753,0.6536,0.7153,0.2307,0.751,0.6653,False,0.7167,18.095,,
20260706-203526,levir_val_43.png,deep_winter,step_back,0,levir_val_43__deep_winter__step_back__v0.png,0.4824,0.3173,0.7452,0.295,0.4494,0.6963,False,0.5482,18.091,,
20260706-203526,levir_val_43.png,deep_winter,decomposed,0,levir_val_43__deep_winter__decomposed__v0.png,0.5169,0.3881,0.7229,0.2998,0.4911,0.6864,False,0.5693,18.095,,
20260706-203526,levir_val_49.png,summer,step_back,0,levir_val_49__summer__step_back__v0.png,0.9876,0.7639,0.952,,0.9428,0.952,False,0.9465,18.092,,
20260706-203526,levir_val_49.png,summer,decomposed,0,levir_val_49__summer__decomposed__v0.png,0.9869,0.7595,0.952,,0.9415,0.952,False,0.9457,18.092,,
20260706-203526,levir_val_49.png,autumn,step_back,0,levir_val_49__autumn__step_back__v0.png,0.8171,0.5349,0.9998,0.2515,0.7607,0.8128,False,0.7815,18.096,,
20260706-203526,levir_val_49.png,autumn,decomposed,0,levir_val_49__autumn__decomposed__v0.png,0.7946,0.4712,0.9997,0.2335,0.7299,0.8082,False,0.7612,18.095,,
20260706-203526,levir_val_49.png,winter,step_back,0,levir_val_49__winter__step_back__v0.png,0.4774,0.2276,0.168,0.2175,0.4274,0.3884,False,0.4118,18.096,,
20260706-203526,levir_val_49.png,winter,decomposed,0,levir_val_49__winter__decomposed__v0.png,0.5008,0.246,0.2436,0.2047,0.4498,0.423,False,0.4391,18.096,,
20260706-203526,levir_val_49.png,deep_winter,step_back,0,levir_val_49__deep_winter__step_back__v0.png,0.5178,0.1522,0.8483,0.3086,0.4447,0.7513,False,0.5673,18.094,,
20260706-203526,levir_val_49.png,deep_winter,decomposed,0,levir_val_49__deep_winter__decomposed__v0.png,0.5844,0.1819,0.7736,0.2925,0.5039,0.7099,False,0.5863,18.095,,
20260706-203526,levir_val_55.png,summer,step_back,0,levir_val_55__summer__step_back__v0.png,0.9849,0.7203,0.9818,,0.932,0.9818,False,0.9519,18.092,,
20260706-203526,levir_val_55.png,summer,decomposed,0,levir_val_55__summer__decomposed__v0.png,0.9836,0.6933,0.982,,0.9256,0.982,False,0.9481,18.096,,
20260706-203526,levir_val_55.png,autumn,step_back,0,levir_val_55__autumn__step_back__v0.png,0.9876,0.6822,0.0271,0.0836,0.9265,0.2845,False,0.6697,18.091,,
20260706-203526,levir_val_55.png,autumn,decomposed,0,levir_val_55__autumn__decomposed__v0.png,0.8368,0.4758,0.9483,0.1595,0.7646,0.764,False,0.7644,18.097,,
20260706-203526,levir_val_55.png,winter,step_back,0,levir_val_55__winter__step_back__v0.png,0.6955,0.4278,0.4784,0.2017,0.642,0.5396,False,0.601,18.097,,
20260706-203526,levir_val_55.png,winter,decomposed,0,levir_val_55__winter__decomposed__v0.png,0.6873,0.4368,0.5489,0.1973,0.6372,0.5738,False,0.6118,18.096,,
20260706-203526,levir_val_55.png,deep_winter,step_back,0,levir_val_55__deep_winter__step_back__v0.png,0.7436,0.3631,0.4304,0.2533,0.6675,0.5286,False,0.6119,18.092,,
20260706-203526,levir_val_55.png,deep_winter,decomposed,0,levir_val_55__deep_winter__decomposed__v0.png,0.7777,0.4046,0.3428,0.2445,0.7031,0.4825,False,0.6149,18.094,,
20260706-203526,levir_val_7.png,summer,step_back,0,levir_val_7__summer__step_back__v0.png,0.9655,0.7093,0.8019,,0.9143,0.8019,False,0.8694,18.091,,
20260706-203526,levir_val_7.png,summer,decomposed,0,levir_val_7__summer__decomposed__v0.png,0.9772,0.6923,0.7873,,0.9202,0.7873,False,0.867,18.098,,
20260706-203526,levir_val_7.png,autumn,step_back,0,levir_val_7__autumn__step_back__v0.png,0.9094,0.4904,0.9988,0.1524,0.8256,0.7875,False,0.8104,18.095,,
20260706-203526,levir_val_7.png,autumn,decomposed,0,levir_val_7__autumn__decomposed__v0.png,0.8947,0.4431,0.9987,0.1466,0.8044,0.786,False,0.797,18.096,,
20260706-203526,levir_val_7.png,winter,step_back,0,levir_val_7__winter__step_back__v0.png,0.5584,0.2169,0.1544,0.1237,0.4901,0.3581,False,0.4373,18.095,,
20260706-203526,levir_val_7.png,winter,decomposed,0,levir_val_7__winter__decomposed__v0.png,0.5404,0.2154,0.3054,0.1657,0.4754,0.4441,False,0.4629,18.099,,
20260706-203526,levir_val_7.png,deep_winter,step_back,0,levir_val_7__deep_winter__step_back__v0.png,0.5904,0.2076,0.8505,0.1718,0.5139,0.7182,False,0.5956,18.095,,
20260706-203526,levir_val_7.png,deep_winter,decomposed,0,levir_val_7__deep_winter__decomposed__v0.png,0.5352,0.246,0.8663,0.2374,0.4774,0.7425,False,0.5834,18.096,,
