run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec
20260707-104736,levir_val_1.png,autumn,positive,0,levir_val_1__autumn__positive__v0.png,0.9049,0.1938,0.1561,0.1177,0.7626,0.3575,False,0.6006,9.171
20260707-104736,levir_val_1.png,winter,positive,0,levir_val_1__winter__positive__v0.png,0.9144,0.1971,0.0018,-0.0073,0.7709,0.2491,False,0.5622,1.07
20260707-104736,levir_val_1.png,deep_winter,positive,0,levir_val_1__deep_winter__positive__v0.png,0.9253,0.1955,0.0015,0.0554,0.7793,0.2646,False,0.5734,1.071
20260707-104736,levir_val_7.png,autumn,positive,0,levir_val_7__autumn__positive__v0.png,0.8498,0.2978,0.7694,0.0729,0.7394,0.6529,False,0.7048,1.065
20260707-104736,levir_val_7.png,winter,positive,0,levir_val_7__winter__positive__v0.png,0.8902,0.2899,0.2236,0.0718,0.7701,0.3797,False,0.614,1.065
20260707-104736,levir_val_7.png,deep_winter,positive,0,levir_val_7__deep_winter__positive__v0.png,0.8236,0.2796,0.5893,0.2402,0.7148,0.6047,False,0.6708,1.066
20260707-104736,levir_val_19.png,autumn,positive,0,levir_val_19__autumn__positive__v0.png,0.8748,0.0945,0.3077,0.0312,0.7187,0.4117,False,0.5959,1.068
20260707-104736,levir_val_19.png,winter,positive,0,levir_val_19__winter__positive__v0.png,0.8019,0.1014,0.068,-0.0031,0.6618,0.2832,False,0.5103,1.066
20260707-104736,levir_val_19.png,deep_winter,positive,0,levir_val_19__deep_winter__positive__v0.png,0.8402,0.0999,0.59,0.1803,0.6921,0.5901,False,0.6513,1.063
20260707-104736,levir_val_49.png,autumn,positive,0,levir_val_49__autumn__positive__v0.png,0.9211,0.1776,0.4377,0.0869,0.7724,0.4906,False,0.6597,1.065
20260707-104736,levir_val_49.png,winter,positive,0,levir_val_49__winter__positive__v0.png,0.9278,0.1779,0.0283,0.0274,0.7778,0.271,False,0.5751,1.06
20260707-104736,levir_val_49.png,deep_winter,positive,0,levir_val_49__deep_winter__positive__v0.png,0.8914,0.1789,0.4397,0.1898,0.7489,0.5173,False,0.6562,1.062
