run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec
20260707-075751,levir_val_1.png,deep_winter,kontext_guide,0,levir_val_1__deep_winter__kontext_guide__v0.png,0.4913,0.2135,0.8394,0.3091,0.4357,0.747,False,0.5602,18.781
20260707-075751,levir_val_1.png,deep_winter,contextual,0,levir_val_1__deep_winter__contextual__v0.png,0.471,0.2004,0.866,0.3038,0.4169,0.759,False,0.5537,18.068
20260707-075751,levir_val_7.png,deep_winter,kontext_guide,0,levir_val_7__deep_winter__kontext_guide__v0.png,0.651,0.3009,0.9396,0.2782,0.581,0.7894,False,0.6643,18.109
20260707-075751,levir_val_7.png,deep_winter,contextual,0,levir_val_7__deep_winter__contextual__v0.png,0.5866,0.2419,0.8852,0.2571,0.5177,0.7569,False,0.6133,18.126
20260707-075751,levir_val_13.png,deep_winter,kontext_guide,0,levir_val_13__deep_winter__kontext_guide__v0.png,0.6241,0.2395,0.8813,0.258,0.5472,0.7552,False,0.6304,18.126
20260707-075751,levir_val_13.png,deep_winter,contextual,0,levir_val_13__deep_winter__contextual__v0.png,0.6833,0.2298,0.9462,0.2362,0.5926,0.7822,False,0.6684,18.128
20260707-075751,levir_val_19.png,deep_winter,kontext_guide,0,levir_val_19__deep_winter__kontext_guide__v0.png,0.5098,0.0452,0.8904,0.1988,0.4169,0.7449,False,0.5481,18.129
20260707-075751,levir_val_19.png,deep_winter,contextual,0,levir_val_19__deep_winter__contextual__v0.png,0.6609,0.0139,0.9496,0.2313,0.5315,0.7826,False,0.632,18.128
20260707-075751,levir_val_25.png,deep_winter,kontext_guide,0,levir_val_25__deep_winter__kontext_guide__v0.png,0.8735,0.4787,0.594,0.2966,0.7945,0.6212,False,0.7252,18.13
20260707-075751,levir_val_25.png,deep_winter,contextual,0,levir_val_25__deep_winter__contextual__v0.png,0.8641,0.4622,0.6307,0.2943,0.7837,0.6389,False,0.7258,18.128
20260707-075751,levir_val_31.png,deep_winter,kontext_guide,0,levir_val_31__deep_winter__kontext_guide__v0.png,0.7853,0.4056,0.9388,0.2707,0.7094,0.7871,False,0.7404,18.126
20260707-075751,levir_val_31.png,deep_winter,contextual,0,levir_val_31__deep_winter__contextual__v0.png,0.8019,0.3984,0.9358,0.2852,0.7212,0.7892,False,0.7484,18.126
20260707-075751,levir_val_37.png,deep_winter,kontext_guide,0,levir_val_37__deep_winter__kontext_guide__v0.png,0.7294,0.143,0.8833,0.3175,0.6121,0.771,False,0.6757,18.129
20260707-075751,levir_val_37.png,deep_winter,contextual,0,levir_val_37__deep_winter__contextual__v0.png,0.6865,0.1372,0.7629,0.2798,0.5766,0.7014,False,0.6265,18.127
20260707-075751,levir_val_43.png,deep_winter,kontext_guide,0,levir_val_43__deep_winter__kontext_guide__v0.png,0.4473,0.3527,0.7739,0.3164,0.4284,0.716,False,0.5435,18.125
20260707-075751,levir_val_43.png,deep_winter,contextual,0,levir_val_43__deep_winter__contextual__v0.png,0.4694,0.3568,0.7392,0.2966,0.4469,0.6938,False,0.5456,18.125
20260707-075751,levir_val_49.png,deep_winter,kontext_guide,0,levir_val_49__deep_winter__kontext_guide__v0.png,0.4681,0.1995,0.7488,0.29,0.4144,0.6969,False,0.5274,18.125
20260707-075751,levir_val_49.png,deep_winter,contextual,0,levir_val_49__deep_winter__contextual__v0.png,0.5726,0.181,0.7771,0.2772,0.4943,0.7078,False,0.5797,18.126
20260707-075751,levir_val_55.png,deep_winter,kontext_guide,0,levir_val_55__deep_winter__kontext_guide__v0.png,0.7617,0.3885,0.4608,0.2761,0.687,0.5494,False,0.632,18.124
20260707-075751,levir_val_55.png,deep_winter,contextual,0,levir_val_55__deep_winter__contextual__v0.png,0.7592,0.3853,0.4073,0.2609,0.6844,0.5189,False,0.6182,18.127
