run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260706-153716,levir_val_1.png,deep_winter,kontext_guide,0,levir_val_1__deep_winter__kontext_guide__v0.png,0.4388,0.2253,0.6097,0.1375,0.3961,0.5892,False,0.4733,0.661,,
20260706-153716,levir_val_1.png,deep_winter,hybrid,0,levir_val_1__deep_winter__hybrid__v0.png,0.704,0.4194,0.2294,0.2253,0.6471,0.421,False,0.5567,0.661,,
20260706-153716,levir_val_13.png,summer,zero_shot,0,levir_val_13__summer__zero_shot__v0.png,0.9641,0.4623,0.8696,,0.8638,0.8696,False,0.8661,0.66,,
20260706-153716,levir_val_13.png,summer,contextual,0,levir_val_13__summer__contextual__v0.png,0.894,0.481,0.9317,,0.8114,0.9317,False,0.8595,0.66,,
20260706-153716,levir_val_13.png,summer,positive,0,levir_val_13__summer__positive__v0.png,0.8829,0.4825,0.9575,,0.8028,0.9575,False,0.8647,0.66,,
20260706-153716,levir_val_13.png,summer,negative,0,levir_val_13__summer__negative__v0.png,0.8029,0.4769,0.9847,,0.7377,0.9847,False,0.8365,0.66,,
20260706-153716,levir_val_13.png,summer,few_shot,0,levir_val_13__summer__few_shot__v0.png,0.8591,0.4851,0.9629,,0.7843,0.9629,False,0.8557,0.66,,
20260706-153716,levir_val_13.png,summer,cot,0,levir_val_13__summer__cot__v0.png,0.8462,0.4794,0.9742,,0.7728,0.9742,False,0.8534,0.66,,
20260706-153716,levir_val_13.png,summer,kontext_guide,0,levir_val_13__summer__kontext_guide__v0.png,0.8222,0.4753,0.974,,0.7528,0.974,False,0.8413,0.66,,
20260706-153716,levir_val_13.png,summer,hybrid,0,levir_val_13__summer__hybrid__v0.png,0.8184,0.4716,0.9776,,0.749,0.9776,False,0.8404,0.661,,
20260706-153716,levir_val_13.png,autumn,zero_shot,0,levir_val_13__autumn__zero_shot__v0.png,0.9601,0.4655,0.1548,0.0587,0.8612,0.3421,False,0.6536,0.66,,
20260706-153716,levir_val_13.png,autumn,contextual,0,levir_val_13__autumn__contextual__v0.png,0.9537,0.4756,0.3585,0.0881,0.8581,0.4513,False,0.6954,0.66,,
20260706-153716,levir_val_13.png,autumn,positive,0,levir_val_13__autumn__positive__v0.png,0.9482,0.4715,0.5675,0.1004,0.8529,0.5588,False,0.7353,0.66,,
20260706-153716,levir_val_13.png,autumn,negative,0,levir_val_13__autumn__negative__v0.png,0.8955,0.463,0.8783,0.1222,0.809,0.7197,False,0.7733,0.66,,
20260706-153716,levir_val_13.png,autumn,few_shot,0,levir_val_13__autumn__few_shot__v0.png,0.9451,0.475,0.4132,0.0838,0.8511,0.4775,False,0.7017,0.66,,
20260706-153716,levir_val_13.png,autumn,cot,0,levir_val_13__autumn__cot__v0.png,0.9424,0.4774,0.4501,0.0886,0.8494,0.4972,False,0.7085,0.66,,
20260706-153716,levir_val_13.png,autumn,kontext_guide,0,levir_val_13__autumn__kontext_guide__v0.png,0.9471,0.4617,0.7209,0.1151,0.85,0.6392,False,0.7657,0.661,,
20260706-153716,levir_val_13.png,autumn,hybrid,0,levir_val_13__autumn__hybrid__v0.png,0.9048,0.4592,0.8032,0.1119,0.8157,0.6796,False,0.7613,0.661,,
20260706-153716,levir_val_13.png,winter,zero_shot,0,levir_val_13__winter__zero_shot__v0.png,0.9254,0.4653,0.1143,0.1077,0.8334,0.3341,False,0.6337,0.66,,
20260706-153716,levir_val_13.png,winter,contextual,0,levir_val_13__winter__contextual__v0.png,0.9089,0.4538,0.1262,0.1028,0.8179,0.3388,False,0.6263,0.66,,
20260706-153716,levir_val_13.png,winter,positive,0,levir_val_13__winter__positive__v0.png,0.8738,0.4597,0.1103,0.0875,0.791,0.327,False,0.6054,0.66,,
20260706-153716,levir_val_13.png,winter,negative,0,levir_val_13__winter__negative__v0.png,0.8381,0.4469,0.129,0.1112,0.7599,0.3423,False,0.5928,0.66,,
20260706-153716,levir_val_13.png,winter,few_shot,0,levir_val_13__winter__few_shot__v0.png,0.9612,0.4736,0.0083,-0.0093,0.8637,0.2518,False,0.6189,0.66,,
20260706-153716,levir_val_13.png,winter,cot,0,levir_val_13__winter__cot__v0.png,0.9154,0.4596,0.1215,0.1019,0.8243,0.3362,False,0.629,0.66,,
20260706-153716,levir_val_13.png,winter,kontext_guide,0,levir_val_13__winter__kontext_guide__v0.png,0.8625,0.4641,0.1184,0.0835,0.7828,0.3301,False,0.6017,0.66,,
20260706-153716,levir_val_13.png,winter,hybrid,0,levir_val_13__winter__hybrid__v0.png,0.8786,0.451,0.1563,0.115,0.7931,0.3569,False,0.6186,0.661,,
20260706-153716,levir_val_13.png,deep_winter,zero_shot,0,levir_val_13__deep_winter__zero_shot__v0.png,0.9154,0.4671,0.351,0.0951,0.8258,0.4493,False,0.6752,0.66,,
20260706-153716,levir_val_13.png,deep_winter,contextual,0,levir_val_13__deep_winter__contextual__v0.png,0.8531,0.4251,0.6783,0.1019,0.7675,0.6146,False,0.7064,0.66,,
20260706-153716,levir_val_13.png,deep_winter,positive,0,levir_val_13__deep_winter__positive__v0.png,0.8389,0.4371,0.6556,0.0971,0.7585,0.6021,False,0.6959,0.66,,
20260706-153716,levir_val_13.png,deep_winter,negative,0,levir_val_13__deep_winter__negative__v0.png,0.8022,0.4097,0.7227,0.1043,0.7237,0.6374,False,0.6892,0.661,,
20260706-153716,levir_val_13.png,deep_winter,few_shot,0,levir_val_13__deep_winter__few_shot__v0.png,0.9368,0.4656,0.2326,0.103,0.8425,0.3921,False,0.6623,0.661,,
20260706-153716,levir_val_13.png,deep_winter,cot,0,levir_val_13__deep_winter__cot__v0.png,0.9055,0.4428,0.4603,0.1046,0.8129,0.5063,False,0.6903,0.662,,
20260706-153716,levir_val_13.png,deep_winter,kontext_guide,0,levir_val_13__deep_winter__kontext_guide__v0.png,0.791,0.3561,0.6587,0.0869,0.704,0.601,False,0.6628,0.661,,
