ptype,n,mean_score,mean_structure,mean_season,mean_dino,mean_ssim,mean_clip_prob,mean_clip_dir,n_disqualified,std_score
negative,40,0.7398,0.7953,0.6565,0.877,0.4684,0.6427,0.1518,0,0.0999
positive,40,0.7382,0.8234,0.6105,0.9068,0.4896,0.5572,0.1358,0,0.1032
hybrid,40,0.7366,0.8154,0.6185,0.9023,0.4676,0.5707,0.1474,0,0.096
contextual,40,0.7323,0.8269,0.5903,0.9124,0.4851,0.5209,0.1358,0,0.103
cot,40,0.7296,0.8281,0.5819,0.9129,0.4889,0.4988,0.1306,0,0.1042
kontext_guide,40,0.7203,0.7784,0.633,0.8605,0.4504,0.5951,0.1403,0,0.108
zero_shot,40,0.7175,0.8385,0.536,0.9246,0.4942,0.4318,0.1171,0,0.1052
few_shot,40,0.7164,0.8451,0.5233,0.9335,0.4919,0.4028,0.0826,0,0.1213
